"date","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
"2022-01-01",NA,NA,NA,NA,NA,NA,NA,22081.159,22724.682,24380.579,25375.947,26216.879,26549.741,25206.912,24255.701,24758.867,25705.367,28235.918,29267.884,30014.734,29590.636,28007.09,26063.131,NA
"2022-01-02",NA,20778.081,19776.911,19402.987,19418.829,19918.343,21374.308,NA,24443.602,26496.955,27210.672,27771.966,27903.929,26439.392,25777.899,26199.474,27627.668,30411.881,31620.254,32204.817,NA,29350.275,27120.075,24658.44
"2022-01-03",22329.628,20518.132,19887.994,19653.946,20018.662,22292.273,27192.832,32340.352,36083.967,37828.9,38130.575,38222.583,37251.947,36789.613,37181.832,37751.602,38456.015,40510.117,NA,NA,NA,34542.74,31099.575,28047.369
"2022-01-04",25118.663,23816.046,22815.203,22721.526,23314.573,24487.708,28374.539,32985.904,36743.295,38477.207,38585.546,38309.881,37015.852,36598.771,36949.8,37299.953,38311.617,40395.36,NA,NA,36956.164,34212.342,30841.549,27605.999
"2022-01-05",25092.233,23489.374,22705.189,22485.973,22787.693,24151.826,28260.676,33300.21,36695.91,38440.955,38474.922,38338.906,37022.308,36350.793,36764.379,37296.812,38155.543,40367.633,40463.923,39501.462,37250.457,34447.171,31087.612,NA
"2022-01-06",26138.841,24177.644,NA,22237.13,22299.813,23144.537,25371.424,27326.746,28463.063,30318.127,31639.143,32360.961,32190.401,30613.832,30009.385,30273.83,31094.952,33744.46,34598.278,35058.835,33583.912,32065.795,29814.766,27327.304
"2022-01-07",25158.907,23551.346,22730.518,22354.02,22660.967,24284.198,28359.622,32642.352,35978.258,37765.893,38103.71,38033.822,37050.859,36171.664,36499.152,36758.153,38043.069,40395.001,NA,NA,NA,35155.38,32186.657,29115.326
"2022-01-08",NA,NA,NA,NA,NA,NA,NA,30603.793,33125.676,35261.562,35230.756,34723.445,33469.615,32293.12,32149.779,32383.341,33548.824,36822.049,37941.365,38196.54,35632.411,32998.676,30414.452,NA
"2022-01-09",25887.696,23860.233,22635.372,22342.04,22286.033,22843.719,24246.467,25570.53,27116.821,29229.247,30904.565,31592.486,31881.989,30056.19,29583.546,29472.791,30408.67,33227.099,34601.94,35143.379,33841.766,31961.291,29508.859,26899.699
"2022-01-10",25237.153,24105.573,23471.162,23059.622,23770.886,25791.562,32030.957,37812.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32322.557
"2022-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-12",29332.012,27726.741,26851.793,NA,27017.549,28844.756,34645.13,NA,NA,NA,NA,NA,NA,NA,NA,44781.301,NA,NA,46971.448,45638.752,42903.315,40006.585,35830.021,32465.635
"2022-01-13",29549.108,28011.711,27129.234,27160.817,27356.017,29366.246,34516.391,40861.94,45399.972,NA,NA,NA,NA,NA,NA,44570.345,45502.12,47064.588,46886.601,45707.284,42833.344,40159.554,36358.056,33074.613
"2022-01-14",NA,NA,NA,NA,NA,NA,NA,39698.845,NA,NA,NA,NA,NA,NA,NA,42856.004,44127.827,45355.597,45667.982,44281.017,41699.132,38866.956,35359.186,NA
