"date","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
"2022-01-01",NA,NA,NA,NA,NA,NA,NA,99.99,67.99,95,135.8,150.7,155.72,147.09,100,155,169.78,203.1,205.83,214.66,214.66,203,180,NA
"2022-01-02",NA,142.85,140.6,100,140.6,141.93,147.09,NA,152.59,155.72,167.98,175.08,189.58,169.69,155.72,167.75,194.21,245,225.19,216.29,NA,178.41,154.44,144.79
"2022-01-03",127,127,84.62,83.27,85,84.5,164.46,202.03,212,232,239.51,212.22,202.03,199.89,207.16,265,270,300,NA,NA,NA,199.08,170,161.01
"2022-01-04",150.55,140.6,113.29,105.80926,105,120,156.91,182.64315,200,192.8,189.88,182.42,182.46,179.59261,179,180.93289,192.27,201.21,NA,NA,170.84,161.3,156.8,145.6
"2022-01-05",142.6,105.1,84.5,75.38,79.10927,94.79055,181.41,215.98,218.95,226.52,224.44677,217.92,205,214.9,217.92,226.52,226.52,265,265,265,241.93,218.95,207.46376,NA
"2022-01-06",207.14604,195,NA,180.7,170.1,194.38268,204.22,228.25497,236.23,247.1,245.24,231.90025,226,220,216.05934,230.77,245.95497,274.10735,273.43744,278.36,251.70998,229.96,227.46,212.02
"2022-01-07",213.47,208.63,204.35,203.91,202.54,205.17,229.22,240,254.18787,257.2434,254.18106,241.21687,240.2,229.53,233.49,237.08,239,266.86,NA,NA,NA,236.04,229,207.49
"2022-01-08",NA,NA,NA,NA,NA,NA,NA,228.77,238.11,239,242.93,231.02,223.33,215.72,215.49,230,242.67397,290,300,294.96,283,241.77,233.56,NA
"2022-01-09",215,204.01,197.61,191,182,172,176.33,187.66,190.66,194.36,215,218.9,218.34,210.47,213.06,223.35,225.55,257.35,269.6,269.36,242.08,222.8,218.34,203.8
"2022-01-10",196.23,191.84562,195.90908,186.66,178.03798,192.15,237.44,299.95241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.93
"2022-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-12",196.65,187.1,184.27,NA,178.33,193.50262,236.76258,NA,NA,NA,NA,NA,NA,NA,NA,240.00793,NA,NA,285.96912,269.02943,246.9,222.79,213.64,200.22
"2022-01-13",192.24,188.72,187.87,186.57,188,198.24,212.18,236.26,252.39,NA,NA,NA,NA,NA,NA,221.65,243.43977,266.3,274,262.95,246.26997,230.1,217.03,207.99
"2022-01-14",NA,NA,NA,NA,NA,NA,NA,259.24,NA,NA,NA,NA,NA,NA,NA,220,238.05225,262,280.66897,269,243.06986,225.61,216.68,NA
"2022-01-15",222.00509,214.92,209.61,196.69906,193.04061,195.04906,210,217.21,223.76,NA,NA,NA,NA,NA,NA,213.97938,226.32,260,267.0254,261.40574,243.62374,227.85,222.66,217
"2022-01-16",225.92,216,207.62,197.22423,186.7,186.6,198.01,200.02512,200,204.86,204.49563,204.42851,205.21,195.02,191.9,196.92,213.05,222.87,257.44723,265.36,257.12866,241.9,228.52,206
"2022-01-17",229,211.8,199.82,197.7,200,222.78124,237.3,258.9,NA,NA,NA,NA,NA,NA,NA,256.99245,264.73489,276.49175,299.02985,288.6894,260,233.77,230.13,218.85
"2022-01-18",213.90038,203.27,200.4764,194.52,193.99,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.21928,NA,278,294.36407,278.41078,259.29,NA,225.84138,213.54
"2022-01-19",199.46,197,195,193.90712,188.7,195.35782,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.30957,250,270,282.70499,273.88863,254.21,NA,208.8,191.08651
"2022-01-20",NA,185.18,179.53,171.43,168.18,181.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.5076,265,265.45,NA,220.55913,NA,196.8
"2022-01-21",197.6,187,183.14,182.07,182.3,NA,211.67992,NA,NA,NA,NA,NA,NA,NA,NA,201.21,220,249.43,266,260.29,233.1,221.96674,NA,NA
"2022-01-22",198.3,189.19655,187.20824,178.71517,176.04383,176.35,190.29,213.65,233.83,220.31,217.6,209.66018,201,189.13,189.99,196.5,197,222.30956,240,245.26871,227.7472,211.88,202.1,197
"2022-01-23",197.14,190,187.9777,179.73,179.04,179.49,189.89,189.99,190,195.31,195.34,195.87,195.41,186.29,184.49,190,194,214.95,239.48564,244.3139,224.96452,204.84,201,187.68
"2022-01-24",190.27,179.61,178.3,177.45617,177.61,190,224.82937,265,300.02224,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.85,315.31125,274.98441,250,228.79992,208.92568
"2022-01-25",220.27,212.9,203.75216,196.24,198.89136,215.00505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.78774,262.03,238.82025,215
"2022-01-26",244.86,235,231.86,228,225.01,233.16,NA,NA,361.92,344.27728,NA,NA,NA,NA,NA,259.36488,274.28,301.47911,343,313.79259,291.62791,251.77,242.77,238.7
"2022-01-27",238.4,231.45,229,223.07922,221.36,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,308.03225,285.11322,240.16,239,223.61975
"2022-01-28",232.13467,220,216.95373,217.26377,214.81,220.73475,253.89999,305.57831,327.68478,310,293.07912,270,256.78757,NA,242.91,272.63809,290,NA,330,300.63,250,242.74,232.13,217.99
"2022-01-29",231.7,224.83,216.53,212.62,212,215.13,234.05,248.38523,267.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.04,331,280,249.09997,233.66,227.12
"2022-01-30",227.12,220.58,216,207.63443,206.5,211.34,214,223,218,223.62,215.82,206,200,195.14,197.94,209.03,220,229,261.5,263.3862,234.05,224.9,221.25797,203.38
"2022-01-31",208.73715,199.88,193.43,193.21,194,200.95,228,243.4,259.72,253.9,NA,NA,NA,NA,NA,NA,253.9,NA,NA,NA,252.22,NA,NA,NA
"2022-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.11,NA
"2022-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.2,NA,266.9,265,237,205.01,198.66,190.1
"2022-02-03",188.96,181.56,181.56,177.43,178.99,184.39,198.28,232.74195,246,231.78511,NA,NA,NA,192.68,198.28,209.67,239.91,274.99,275.56143,265,NA,NA,204.88,194.74
"2022-02-04",189.1,181.32,179.34,179.34,181.2,190.4,220,250.26,NA,NA,NA,NA,NA,NA,NA,NA,242.14,278.99991,302.59,280,NA,211.74,204.74,193.99
"2022-02-05",214.56,206.89,199.61,196.94,199.61,206.89,215.86,247.47558,NA,NA,NA,NA,NA,NA,190.25,202.39,208.56,235,262.58,279.04,247.87,208.56,208.3,193.77
"2022-02-06",208.56,202.81,192.39,190.87,190.87,196,206.89,208.56,210,208.65,206.89,208,198.82,189.37,190.33,197.12,208.3,216.33,250,247.53,216.33,204.62,198.9,186.8
"2022-02-07",178,172,168.74,154.94151,162.45,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.77085,201.30484,NA
"2022-02-08",184,179.88082,174.68,170.88491,177.87687,183.62,206,240.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.8,NA,239.00922,214.5,208.28,200.57
"2022-02-09",195,187.38,185,183.85,185,191.07,218,NA,NA,NA,NA,NA,NA,NA,197.57,212,233.41,261.34,307.25,301.69,246,NA,217.73521,208.3
"2022-02-10",200.99157,192.61,185.09768,184.27,188.08,202,214.2,238.52,255,230.16,NA,NA,NA,186,196.78,205.92,224.69,236.34,261.7,258.09,235.01,NA,NA,195.71
"2022-02-11",196.17,186.7,184,184.22,186.49,196.17,214.45,234.96,247,NA,NA,NA,NA,NA,NA,209.94,227.84,259.1,294,289,234.84,216,NA,197.89
"2022-02-12",195.909,187.2,184.89,170.24,167.56,168.38,184.74,207.43,210.89,211.17,203.23,184.74,179.99,171,168.39264,169.05,184.4,194.89,215,231.55,213,202.14,199.67,190.37
"2022-02-13",196.9,186.52,184.30203,175.76,173.06,178.54,189.33,199.95,192,191.69,185.5,178.53,174.83,167.37,167.37,180.12,201.99,218.96,245,265.30722,242.99997,226.44,210.86,199.95
"2022-02-14",180.12,174.05,171.64,170.2,171.64,182.72,206.4,225,253.98,NA,NA,NA,NA,NA,NA,NA,217.26,221.42,236.9,248.71124,229.02437,218.95041,201.98073,NA
"2022-02-15",198.18,188.99871,179.7,174.02,174.05,182.97,204.19691,234.06,262.87758,240,NA,NA,NA,NA,NA,NA,221.19,226,238,230.69,222.1,NA,203.99,198.36
"2022-02-16",192.02,188.23,179.18,188.23,188.23,201.2,229.11,257.04,299.67,NA,NA,NA,NA,NA,200.6,210.34,235.71,255.46,284.03,267.99,248.99,211.04326,202.05,187.47
