"date","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
"2023-01-01",114915.863,114727.525,113700.998,113427.002,113309.976,113749.996,114012.273,115148.468,116580.807,117891.494,118475.148,118954.85,118859.828,118165.458,117121.06,116352.062,116538.884,119201.271,120376.401,120914.075,121276.971,116274.862,116165.861,115709.681
"2023-01-02",112789.236,112480.93,112442.037,112343.553,112491.73,113317.069,114645.842,119510.893,121219.688,121446.939,122308.924,NA,NA,NA,119805.697,118912.91,119713.238,121791.085,122553.062,123443.257,121772.347,118673.084,117024.382,116149.805
"2023-01-03",115141.209,115026.219,114892.827,115012.586,115031.196,115192.49,117002.227,119682.797,120762.116,121907.79,121993.919,122170.004,122255.892,122213.548,121445.118,121857.696,121438.745,123814.106,125181.284,125309.601,122078.742,119793.564,118542.227,118177.653
"2023-01-04",115103.36,114584.167,114367.088,114197.18,114360.897,114767.892,115581.422,118222.438,120400.899,121992.507,122833.716,123284.392,122559.403,122082.729,122036.454,120954.439,122419.503,125560.518,125207.198,124434.763,120527.393,118626.647,117360.54,116999.506
"2023-01-05",115263,115184.558,115035.744,114999.785,115087.578,115220.501,117167.708,119343.067,121254.492,121703.841,122241.977,123023.985,123411.823,122221.01,121469.026,121535.731,121952.264,124999.015,125117.268,124961.019,120501.935,119196.322,117846.468,117116.29
"2023-01-06",115969.854,115466.555,115171.366,114998.251,114874.245,115113.381,116268.479,117157.981,119114.837,120559.928,121448.751,122012.645,121034.781,121153.237,120165.215,118647.239,121561.293,122044.29,122242.875,122191.354,119776.709,117760.643,116254.341,115949.044
"2023-01-07",115323.679,114857.236,114454.381,114350.581,114409.383,114758.354,115633.31,117542.167,119693.359,120018.483,120975.03,121200.895,120720.435,120179.996,120026.389,120084.721,NA,NA,NA,NA,NA,NA,118901.855,116506.965
"2023-01-08",117789.17,117223.425,115714.251,115692.15,115630.506,115721.404,116263.971,117675.496,118792.685,120523.858,121415.118,122038.241,121985.54,121997.575,121451.03,121340.857,121550.451,124969.46,125821.362,126590.832,125970.697,122699.431,121224.485,119396.775
"2023-01-09",115347.967,114889.365,115132.044,115422.146,115941.814,116903.401,119302.906,124220.464,125119.042,125686.251,NA,NA,126436.78,126230.838,126638.981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-10",NA,NA,NA,NA,NA,117866.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121028.849
"2023-01-11",119847.617,119164.466,118740.833,118519.847,118756.709,119404.79,120515.276,122170.545,124769.804,NA,NA,NA,NA,NA,126283.812,NA,123892.58,127238.657,126766.801,126629.803,124421.491,120593.145,119748.166,118655.742
