"date","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
"2022-01-01",NA,NA,NA,NA,NA,NA,NA,121383.556,122382.365,123943.976,124477.343,124463.768,124607.889,123864.314,123415.824,122615.434,122252.787,124645.36,125801.039,126039.597,124738.843,123232.949,121113.362,NA
"2022-01-02",NA,123679.509,123524.71,123464.755,123286.056,123443.915,124064.584,NA,125732.284,127370.52,128147.674,128193.613,128268.279,127558.611,127076.981,126934.557,126507.341,126501.724,126708.472,126844.648,NA,126750.275,126143.638,125506.739
"2022-01-03",124585.656,124060.386,124111.3,124279.845,124204.322,124529.496,124831.732,125725.436,127191.983,127774.858,128500.108,128575.351,128678.775,128369.739,128027.103,126866.034,126749.857,126657.608,NA,NA,NA,125929.569,125075.513,124766.839
"2022-01-04",122564.669,123096.722,123313.547,123584.107,123891.908,123732.559,123661.048,125963.237,127445.161,129562.43,129887.1,129881.274,130116.193,129715.57,129363.449,129166.501,129298.611,129658.548,NA,NA,129022.113,128280.908,127093.002,126576.719
"2022-01-05",125348.055,125478.166,125593.153,125385.954,125395.124,125611.509,125777.592,126554.359,127910.958,129092.545,129652.774,130043.489,129673.984,129066.168,128414.001,128374.31,128161.582,128185.162,128369.786,127511.094,127275.663,127303.279,126386.459,NA
"2022-01-06",126256.63,126125.722,NA,125128.909,124715.638,124352.162,124585.295,124015.618,125083.471,126015.178,127247.62,127522.361,127273.165,127096.445,127297.876,126056.711,125628.024,125713.56,125729.856,125478.027,124740.239,124246.883,123332.778,123150.349
"2022-01-07",122801.083,122604.206,122332.131,122331.322,122942.8,123119.002,123803.081,124132.159,125265.741,126751.637,128002.843,128396.532,128155.936,128367.785,127544.109,126812.183,126759.868,127102.592,NA,NA,NA,125718.366,124245.697,124172.07
"2022-01-08",NA,NA,NA,NA,NA,NA,NA,125548.819,126631.251,128076.955,128855.511,129833.176,129784.033,129313.533,128847.917,127665.317,126559.4,126912.506,127380.495,127909.797,126470.837,125572.551,125071.799,NA
"2022-01-09",123505.209,123026.347,122862.151,123006.254,123203.51,123595.686,123871.648,125006.316,126155.425,127171.012,128440.084,128634.448,128671.583,127746.8,126959.042,125873.915,125861.817,125819.252,126263.57,126645.424,126273.957,125811.136,124913.661,125061.659
"2022-01-10",122920.934,122894.337,122942.576,123107.168,123437.632,123622.594,124437.943,127065.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128051.428
